title,body,labels
"Ajustar módulo de pedidos para usar ubicaciones asociadas a clientes","Permitir que el flujo de pedidos seleccione ubicaciones ya vinculadas a clientes, en lugar de requerir registros nuevos.","Pedidos;Mejora"
"Fortalecer búsquedas de productos en formularios","Mejorar los filtros y los buscadores en formularios de pedidos y productos para agilizar la captura de datos.","UX;Búsqueda"
"Completar la normalización de la base de datos para clientes y ubicaciones","Normalizar las tablas de clientes y ubicaciones para evitar duplicidad y garantizar relaciones consistentes.","Base de datos;Arquitectura"
"Refinar la lógica de movimientos de inventario y stock","Asegurar que los movimientos de inventario registren con precisión insumos, productos terminados, origen y destino.","Inventario;Movimientos"
"Preparar pruebas de flujo completo con un caso de pedido","Realizar una prueba integral que cubra creación de pedido, selección de producto, ubicación y actualización de inventario.","QA;Pruebas"
"Añadir filtros de búsqueda en el módulo de pedidos","Implementar filtros y búsqueda rápida para facilitar la selección de productos en el módulo de pedidos.","Pedidos;Búsqueda"
"Ajustar la lógica de inventario para productos terminados","Separar correctamente productos terminados e insumos en el inventario y mostrar ambos estados claramente.","Inventario;Mejora"
"Optimizar la asociación de clientes con ubicaciones","Mejorar la relación entre clientes y sus ubicaciones para que el sistema soporte múltiples ubicaciones por cliente.","Clientes;Ubicaciones"
"Mejorar los mensajes de error y confirmación en el sistema","Agregar mensajes claros al usuario para errores, confirmaciones y acciones de guardado en pedidos e inventario.","UX;Calidad"
"Realizar segunda ronda de pruebas funcionales","Ejecutar una nueva sesión de pruebas completas para validar ajustes en pedidos, inventario y mapa.","QA;Pruebas"
"Implementar inventario de productos terminados","Agregar soporte completo en el inventario para productos terminados, diferenciándolos de insumos.","Inventario;Funcionalidad"
"Actualizar lógica de recetas para descontar insumos automáticamente","Hacer que la producción descuente insumos automáticamente según la receta usada.","Producción;Automatización"
"Modificar módulo de movimientos para incluir productos e insumos","Registrar movimientos tanto de insumos como de productos terminados dentro del módulo de stock.","Movimientos;Inventario"
"Incorporar confirmación y cancelación de movimientos","Permitir confirmar o cancelar movimientos antes de registrarlos para corregir errores operativos.","QA;Movimientos"
"Ajustar cálculos de producción por presentación","Calcular recetas considerando la presentación y tamaño del producto para alcanzar cantidades precisas.","Producción;Cálculos"
"Reestructurar la funcionalidad del mapa para clientes y ubicaciones","Vincular ubicaciones del mapa a clientes y soporte para múltiples ubicaciones por cliente.","Mapa;Ubicaciones"
"Integrar pedidos con las ubicaciones registradas en el mapa","Hacer que el módulo de pedidos use las ubicaciones del mapa para mejorar seguimiento de entregas.","Pedidos;Mapa"
"Implementar buscadores de productos en los módulos correspondientes","Agregar mecanismos de búsqueda en los módulos con grandes listas de productos para mejorar la experiencia.","UX;Búsqueda"
"Rediseñar el módulo de asignación de inventario a ubicaciones","Sustituir campos Tipo/Tamaño por un buscador al asignar inventario y asociarlo directamente a ubicaciones existentes.","Inventario;UX"
